period,region,cor,leisure,holiday,vfr,business,general_business_purpose,mice,others,not_stated,
2013,TOTAL,TOTAL,49,36,14,23,20,3,17,11,
2013,SOUTHEAST ASIA,INDONESIA,52,35,18,16,13,3,23,9,
2013,SOUTHEAST ASIA,MALAYSIA,43,19,24,36,32,4,10,10,
2013,SOUTHEAST ASIA,"PHILIPPINES",60,35,25,17,14,3,12,11,
2013,SOUTHEAST ASIA,"THAILAND",40,26,14,41,34,6,11,8,
2013,SOUTHEAST ASIA,"VIETNAM",47,31,16,28,26,3,13,11,
2013,NORTH ASIA,CHINA,56,40,15,26,22,3,12,7,
2013,NORTH ASIA,NORTH EAST ASIA,39,34,5,30,26,4,9,23,
2013,NORTH ASIA,"HONGKONG",44,35,9,37,35,2,5,14,
2013,NORTH ASIA,JAPAN,49,44,5,34,33,1,7,9,
2013,SOUTH ASIA,SOUTH ASIA,53,36,18,27,21,6,9,10,
2013,EUROPE,FRANCE,48,37,11,9,8,1,35,7,
2013,EUROPE,GERMANY,55,51,4,14,14,0,28,4,
2013,EUROPE,EUROPE,45,40,5,19,16,2,20,16,
2013,EUROPE,UK,54,42,12,16,13,3,24,6,
2013,NORTH AMERICA,NORTH AMERICA ,51,40,11,21,19,3,20,8,
2013,OCEANIA,AUSTRALIA,39,34,6,10,10,1,39,13,
2013,OTHER REGION,OTHER REGION,40,39,1,19,19,0,16,25,
,,,,,,,,,,,
2014,TOTAL,TOTAL,52,39,13,21,16,4,16,11,
2014,SOUTHEAST ASIA,INDONESIA,56,40,16,12,10,2,24,9,
2014,SOUTHEAST ASIA,MALAYSIA,47,23,24,32,28,5,11,10,
2014,SOUTHEAST ASIA,"PHILIPPINES",59,34,25,17,14,3,13,11,
2014,SOUTHEAST ASIA,"THAILAND",41,29,13,42,32,9,11,6,
2014,SOUTHEAST ASIA,"VIETNAM",56,36,20,24,19,5,9,11,
2014,NORTH ASIA,CHINA,57,43,14,20,17,2,14,9,
2014,NORTH ASIA,NORTH EAST ASIA,41,33,9,31,26,6,14,15,
2014,NORTH ASIA,"HONGKONG",47,37,10,34,30,4,5,14,
2014,NORTH ASIA,JAPAN,48,40,8,33,13,20,11,8,
2014,SOUTH ASIA,SOUTH ASIA,53,39,14,25,20,5,11,11,
2014,EUROPE,FRANCE,57,46,11,15,12,3,17,12,
2014,EUROPE,GERMANY,66,62,4,13,10,3,16,4,
2014,EUROPE,EUROPE,57,48,8,16,15,2,9,18,
2014,EUROPE,UK,60,47,13,17,14,2,18,6,
2014,NORTH AMERICA,NORTH AMERICA,54,45,9,19,15,4,18,10,
2014,OCEANIA,OCEANIA,51,45,7,10,9,2,29,11,
2014,OTHER REGION,OTHER REGION,50,48,1,8,5,2,10,32,
